,name,temperature (F),humidity,wind_speed,cloudiness %,latitude,longitude
479,Bochnia,67.21,88,3.36,0,49.97,20.43
480,Cap Malheureux,68.14,73,12.75,75,-19.98,57.61
481,Mimarsinan,71.83,56,14.99,0,38.73,35.6
482,Buala,80.51,80,11.61,100,-8.15,159.59
483,Mpika,67.55,53,10.87,0,-11.84,31.4
484,Ahipara,63.0,100,1.99,0,-35.17,173.16
485,Kattivakkam,83.5,79,9.17,75,13.22,80.32
486,Tura,54.95,86,2.89,100,64.27,100.22
487,Torgelow,68.05,59,5.82,0,53.63,14.01
488,Griffith,29.14,92,4.92,0,-34.29,146.06
489,Keffi,77.0,78,3.36,20,8.85,7.88
490,Cabo San Lucas,89.8,55,19.46,40,22.89,-109.91
491,Kedougou,73.4,94,9.17,90,12.56,-12.19
492,Port Macquarie,56.3,87,12.75,90,-31.43,152.91
493,High Level,64.4,59,10.29,75,58.52,-117.13
494,Makokou,68.63,97,1.72,55,0.56,12.85
495,Cockburn Town,87.8,74,17.22,40,21.46,-71.14
496,Baracoa,84.47,79,11.68,24,20.35,-74.5
497,Aras,66.69,88,9.17,75,42.56,-2.36
498,Clyde River,46.4,70,13.87,1,70.47,-68.59
499,Lata,45.95,98,3.04,100,30.78,78.62
500,Roebourne,57.29,70,4.29,0,-20.77,117.15
501,Sao Joao da Barra,69.8,77,9.17,40,-21.64,-41.05
502,Kayerkan,53.6,93,6.71,40,69.35,87.76
503,Westport,71.17,53,14.99,75,41.14,-73.36
504,Kimbe,75.11,92,2.68,100,-5.56,150.15
505,Mogadishu,75.65,84,14.0,67,2.04,45.34
506,Port Keats,65.93,89,6.69,0,-14.25,129.55
507,Maceio,77.0,78,8.05,40,-9.67,-35.74
508,Nazas,80.87,39,11.1,100,25.22,-104.11
509,Rize,75.07,83,4.7,40,41.02,40.52
510,Kemi,55.4,100,4.7,0,65.74,24.56
511,Bundaberg,59.38,93,5.82,40,-24.87,152.35
512,Viedma,57.11,72,6.44,94,-40.81,-62.99
513,Vuktyl,41.27,77,11.03,28,63.86,57.31
514,Marystown,58.73,63,12.3,0,47.17,-55.16
515,Lensk,48.47,96,4.7,20,60.71,114.91
516,Asia,72.73,73,3.36,0,44.72,11.34
517,Raudeberg,62.83,93,5.82,100,61.99,5.14
518,Jiayuguan,66.47,27,7.23,82,39.77,98.29
519,Bluefield,70.99,53,9.17,40,37.27,-81.22
520,Kamalia,91.31,31,5.41,100,30.73,72.64
521,Palmer,41.4,87,5.82,75,-34.85,139.16
522,Novoagansk,42.71,92,6.31,65,61.94,76.66
523,Broome,67.82,68,3.36,0,52.47,1.45
524,Osa,49.37,88,12.71,89,57.28,55.46
525,Salym,51.89,96,2.26,100,60.06,71.48
526,Tongren,71.15,88,3.76,39,27.72,109.18
527,Mikhaylov,46.99,81,4.65,26,54.23,39.03
528,Teya,93.78,47,9.17,40,21.05,-89.07
529,Zigong,78.17,70,2.17,100,29.34,104.78
530,Humberto de Campos,78.89,76,9.71,0,-2.6,-43.46
531,Romny,61.25,83,6.64,0,50.74,33.49
532,Iturbe,76.73,55,4.65,35,-26.06,-56.49
